study	enzyme	abundance
Archour2014b	UGT2B7	124.456
Archour2014b	UGT2B7	130.366
Archour2014b	UGT2B7	160.173
Archour2014b	UGT2B15	18.819
Archour2014b	UGT2B15	32.779
Archour2014b	UGT2B15	32.537
Archour2014b	UGT2B15	40.754
Archour2014b	UGT2B15	49.896
Archour2014b	UGT2B15	59.076
Archour2014b	UGT2B15	52.357
Archour2014b	UGT2B15	62.805
Archour2014b	UGT2B15	66.164
Archour2014b	UGT2B15	72.935
Archour2014b	UGT2B15	82.165
Archour2014b	UGT2B15	74.280
Archour2014b	UGT2B15	82.395
Archour2014b	UGT2B15	89.229
Archour2014b	UGT2B15	99.703
Archour2014b	UGT2B15	94.921
Archour2014b	UGT2B15	105.229
Archour2014b	UGT2B15	124.858
Archour2014b	UGT2B15	134.305

