sid	name	ntype	dtype	label	description	annotations	children
alp	alp	substance	undefined	Alkaline phosphatase (ALP)	Serum Alkaline phosphatase.	[]	[]
got	got	substance	undefined	Glutamic oxaloacetic transaminase (GOT, SGOT)	Glutamic oxaloacetic transaminase (GOT, SGOT). Activity measured as a test of liver function, 46/47-kDa homodimeric human Aspartate Aminotransferases (Class-I Pyridoxal-Phosphate-Dependent Aminotransferase Family) are pyridoxal phosphate-dependent enzymes involved in amino acid metabolism and in the urea and tricarboxylic acid cycles.	[{'term': 'C25202', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A family of pyridoxal phosphate-dependent enzymes involved in amino acid metabolism and in the urea and tricarboxylic acid cycles. Aspartate aminotransferase specifically and reversibly catalyzes the transfer of an amino group from L-aspartate to alpha-ketoglutarate forming oxaloacetate and L-glutamate.', 'label': 'Aspartate Aminotransferase', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C25202'}]	[]
ast	ast	substance	undefined	Aspartate aminotransferase (AST)	Aspartate aminotransferase, also known as AspAT/ASAT/AAT or (serum) glutamic oxaloacetic transaminase (GOT, SGOT).	[{'term': 'C64467', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A quantitative measurement of aspartate aminotransferase present in a sample.', 'label': 'Aspartate Aminotransferase Measurement', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C64467'}]	[]
ggt	ggt	substance	undefined	Gamma glutamate transaminase (GGT)	Gamma glutamate transaminase.	[{'term': 'C64467', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A quantitative measurement of aspartate aminotransferase present in a sample.', 'label': 'Aspartate Aminotransferase Measurement', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C64467'}]	[]
alt	alt	substance	undefined	Alanine aminotransferase (ALT)	Alanine aminotransferase, formerly called serum glutamate-pyruvate transaminase (SGPT) or serum glutamic-pyruvic transaminase (SGPT). Serum ALT level, serum AST (aspartate transaminase) level, and their ratio (AST/ALT ratio) are commonly measured clinically as biomarkers for liver health.	[{'term': 'C64433', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A quantitative measurement of alanine aminotransferase present in a sample.', 'label': 'Alanine Aminotransferase Measurement', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C64433'}]	[]
ldh	ldh	substance	undefined	Lacate dehydrogenase (LDH)	Lactate dehydrogenase (LDH). A family of homotetrameric cytoplasmic enzymes involved in the conversion of L-lactate and NAD to pyruvate and NADH in the final step of anaerobic glycolysis.	[{'term': 'C25184', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A family of homotetrameric cytoplasmic enzymes involved in the conversion of L-lactate and NAD to pyruvate and NADH in the final step of anaerobic glycolysis. In vertebrates, genes for three different subunits (LDH-A, LDH-B and LDH-C) exist.', 'label': 'Lactate Dehydrogenase', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C25184'}]	[]
metformin	metformin	substance	undefined	metformin	An agent belonging to the biguanide class of antidiabetics with antihyperglycemic activity. Metformin is associated with a very low incidence of lactic acidosis.	[{'term': 'CHEBI:6801', 'relation': 'BQB_IS', 'collection': 'chebi', 'description': 'A member of the class of guanidines that is biguanide the carrying two methyl substituents at position 1.', 'label': 'metformin', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:6801'}, {'term': 'C61612', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'An agent belonging to the biguanide class of antidiabetics with antihyperglycemic activity. Metformin is associated with a very low incidence of lactic acidosis. This agent helps reduce LDL cholesterol and triglyceride levels, and is not associated with weight gain, and prevents the cardiovascular complications of diabetes. Metformin is not metabolized and is excreted unchanged by the kidneys.', 'label': 'Metformin', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C61612'}, {'term': 'XZWYZXLIPXDOLR-UHFFFAOYSA-N', 'relation': 'BQB_IS', 'collection': 'inchikey', 'description': None, 'label': None, 'url': 'https://www.chemspider.com/search?params=XZWYZXLIPXDOLR-UHFFFAOYSA-N'}]	[]
glipizide	glipizide	substance	undefined	glipizide	A short-acting, second-generation sulfonylurea with hypoglycemic activity. Glipizide is rapidly absorbed, has a very quick onset of action and a short half-life. This agent is extensively metabolized in the liver and the metabolites as well as the unchanged form are excreted in the urine.	[{'term': 'CHEBI:5384', 'relation': 'BQB_IS', 'collection': 'chebi', 'description': 'An N-sulfonylurea that is glyburide in which the (5-chloro-2-methoxybenzoyl group is replaced by a (5-methylpyrazin-2-yl)carbonyl group. An oral hypoglycemic agent, it is used in the treatment of type 2 diabetes mellitus.', 'label': 'glipizide', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:5384'}, {'term': 'C29074', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A short-acting, second-generation sulfonylurea with hypoglycemic activity. Glipizide is rapidly absorbed, has a very quick onset of action and a short half-life. This agent is extensively metabolized in the liver and the metabolites as well as the unchanged form are excreted in the urine.', 'label': 'Glipizide', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C29074'}, {'term': 'ZJJXGWJIGJFDTL-UHFFFAOYSA-N', 'relation': 'BQB_IS', 'collection': 'inchikey', 'description': None, 'label': None, 'url': 'https://www.chemspider.com/search?params=ZJJXGWJIGJFDTL-UHFFFAOYSA-N'}]	[]
hydrochlorothiazide	hydrochlorothiazide	substance	undefined	hydrochlorothiazide	Hydrochlorothiazide (HCTZ or HCT) is a diuretic medication often used to treat high blood pressure and swelling due to fluid build up.	"[{'term': 'C29098', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': ""A short acting thiazide diuretic. Hydrochlorothiazide (HCTZ) is widely used to treat hypertension and edema. This agent's metabolite appears to preferentially bind to and accumulate in red blood cells. This agent is primarily excreted by the kidneys."", 'label': 'Hydrochlorothiazide', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C29098'}, {'term': 'CHEBI:5778', 'relation': 'BQB_IS', 'collection': 'chebi', 'description': 'A benzothiadiazine that is 3,4-dihydro-2H-1,2,4-benzothiadiazine 1,1-dioxide substituted by a chloro group at position 6 and a sulfonamide at 7. It is diuretic used for the treatment of hypertension and congestive heart failure.', 'label': 'hydrochlorothiazide', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:5778'}, {'term': 'JZUFKLXOESDKRF-UHFFFAOYSA-N', 'relation': 'BQB_IS', 'collection': 'inchikey', 'description': None, 'label': None, 'url': 'https://www.chemspider.com/search?params=JZUFKLXOESDKRF-UHFFFAOYSA-N'}]"	[]
c14-hydrochlorothiazide	C14-hydrochlorothiazide	substance	undefined	C14-hydrochlorothiazide	C14 labeled hydrochlorothiazide (HCTZ or HCT).	"[{'term': 'C29098', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'ncit', 'description': ""A short acting thiazide diuretic. Hydrochlorothiazide (HCTZ) is widely used to treat hypertension and edema. This agent's metabolite appears to preferentially bind to and accumulate in red blood cells. This agent is primarily excreted by the kidneys."", 'label': 'Hydrochlorothiazide', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C29098'}, {'term': 'CHEBI:5778', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'chebi', 'description': 'A benzothiadiazine that is 3,4-dihydro-2H-1,2,4-benzothiadiazine 1,1-dioxide substituted by a chloro group at position 6 and a sulfonamide at 7. It is diuretic used for the treatment of hypertension and congestive heart failure.', 'label': 'hydrochlorothiazide', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:5778'}]"	[]
icg	indocyanine green	substance	undefined	indocyanine green	Indocyanine green (ICG) is a cyanine dye used in medical diagnostics. It is used for determining cardiac output, hepatic function, liver and gastric blood flow, and for ophthalmic angiography.	[{'term': 'MOFVSTNWEDAEEK-UHFFFAOYSA-M', 'relation': 'BQB_IS', 'collection': 'inchikey', 'description': None, 'label': None, 'url': 'https://www.chemspider.com/search?params=MOFVSTNWEDAEEK-UHFFFAOYSA-M'}, {'term': 'CHEBI:31696', 'relation': 'BQB_IS', 'collection': 'chebi', 'description': None, 'label': 'indocyanine green', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:31696'}, {'term': 'C65913', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A nontoxic, fluorescent, tricarbocyanine dye with a peak spectral absorption at 790 nm, with application in determining cardiac output, hepatic function, liver blood flow, as well as ophthalmic angiography. Upon administration, indocyanine green (ICG) rapidly binds to its principle carrier, plasma protein, and is thereby confined to the vascular space. This agent, with a half-life of 150 to 180 seconds, is removed exclusively by the liver from circulation to bile juice. Furthermore, due to poor uptake, ICG is not suitable for angiography or functional output analysis of kidney, lung, cerebro-spinal, or peripheral tissues.', 'label': 'Indocyanine Green', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C65913'}, {'term': 'MOFVSTNWEDAEEK-UHFFFAOYSA-M', 'relation': 'BQB_IS', 'collection': 'inchikey', 'description': None, 'label': None, 'url': 'https://www.chemspider.com/search?params=MOFVSTNWEDAEEK-UHFFFAOYSA-M'}]	[]
glycocholic-acid	glycocholic acid	substance	undefined	glycocholic acid	A bile acid glycine conjugate having cholic acid as the bile acid component.	[{'term': 'CHEBI:17687', 'relation': 'BQB_IS', 'collection': 'chebi', 'description': 'A bile acid glycine conjugate having cholic acid as the bile acid component.', 'label': 'glycocholic acid', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17687'}, {'term': 'RFDAIACWWDREDC-FRVQLJSFSA-N', 'relation': 'BQB_IS', 'collection': 'inchikey', 'description': None, 'label': None, 'url': 'https://www.chemspider.com/search?params=RFDAIACWWDREDC-FRVQLJSFSA-N'}]	[]
14c-glycocholic-acid	[14C]glycocholic acid	substance	undefined	[14C]glycocholic acid	A bile acid glycine conjugate having cholic acid as the bile acid component.	[{'term': 'CHEBI:17687', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'chebi', 'description': 'A bile acid glycine conjugate having cholic acid as the bile acid component.', 'label': 'glycocholic acid', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17687'}]	[]
ergotamine	ergotamine	substance	undefined	ergotamine	A naturally occurring ergot alkaloid with vasoconstrictor and analgesic property.	[{'term': 'CHEBI:64318', 'relation': 'BQB_IS', 'collection': 'chebi', 'description': 'A peptide ergot alkaloid that is dihydroergotamine in which a double bond replaces the single bond between positions 9 and 10.', 'label': 'ergotamine', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64318'}, {'term': 'C61751', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A naturally occurring ergot alkaloid with vasoconstrictor and analgesic property. Ergotamine selectively binds and activates serotonin (5-HT) 1D receptors located on intracranial blood vessels, including those on arterio-venous anastomoses, thereby resulting in vasoconstriction and reducing the blood flow in cerebral arteries that may lead to relieve of vascular headaches. This agent also selectively binds to alpha-adrenergic receptors, thereby stimulating vascular smooth muscle and causing vasoconstriction in both arteries and veins, which also contributes to the relief of headaches. Furthermore, the activation of 5-HT1D receptors on sensory nerve endings of the trigeminal system results in the inhibition of pro-inflammatory neuropeptide release.', 'label': 'Ergotamine', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C61751'}, {'term': 'XCGSFFUVFURLIX-VFGNJEKYSA-N', 'relation': 'BQB_IS', 'collection': 'inchikey', 'description': None, 'label': None, 'url': 'https://www.chemspider.com/search?params=XCGSFFUVFURLIX-VFGNJEKYSA-N'}]	[]
bile	bile	substance	undefined	bile	Fluid composed of waste products, bile acids, salts, cholesterol, and electrolytes. It is secreted by the liver parenchyma and stored in the gallbladder.	[{'term': 'C13192', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'Fluid composed of waste products, bile acids, salts, cholesterol, and electrolytes. It is secreted by the liver parenchyma and stored in the gallbladder.', 'label': 'Bile', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C13192'}]	[]
fentanyl	fentanyl	substance	undefined	fentanyl	A synthetic, lipophilic phenylpiperidine opioid agonist with analgesic and anesthetic properties. Fentanyl selectively binds to and activates the mu-receptor in the central nervous system (CNS) thereby mimicking the effects of endogenous opiates.	[{'term': 'CHEBI:310077', 'relation': 'BQB_IS', 'collection': 'chebi', 'description': None, 'label': 'CHEBI_310077', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:310077'}, {'term': 'C494', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A synthetic, lipophilic phenylpiperidine opioid agonist with analgesic and anesthetic properties. Fentanyl selectively binds to and activates the mu-receptor in the central nervous system (CNS) thereby mimicking the effects of endogenous opiates. Activation of the mu-subtype opioid receptor stimulates the exchange of GTP for GDP on the G-protein complex and subsequently inhibits adenylate cyclase. This causes a decrease in intracellular cAMP which inhibits cAMP-mediated calcium influx into the cell via the calcium channels and thereby results in hyperpolarization and reduced neuronal excitability.', 'label': 'Fentanyl', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C494'}, {'term': 'PJMPHNIQZUBGLI-UHFFFAOYSA-N', 'relation': 'BQB_IS', 'collection': 'inchikey', 'description': None, 'label': None, 'url': 'https://www.chemspider.com/search?params=PJMPHNIQZUBGLI-UHFFFAOYSA-N'}]	[]
galactose	galactose	substance	undefined	galactose	Galactose is a monosaccharide sugar that is about as sweet as glucose.	[{'term': 'CHEBI:28260', 'relation': 'BQB_IS', 'collection': 'chebi', 'description': 'An aldohexose that is the C-4 epimer of glucose.', 'label': 'galactose', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28260'}, {'term': 'C68482', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': None, 'label': 'Galactose', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C68482'}]	[]
lidocaine	lidocaine	substance	undefined	lidocaine	A synthetic aminoethylamide with local anesthetic and antiarrhythmic properties. Lidocaine stabilizes the neuronal membrane by binding to and inhibiting voltage-gated sodium channels, thereby inhibiting the ionic fluxes required for the initiation and conduction of impulses and effecting local anesthesia.	[{'term': 'CHEBI:6456', 'relation': 'BQB_IS', 'collection': 'chebi', 'description': 'The monocarboxylic acid amide resulting from the formal condensation of N,N-diethylglycine with 2,6-dimethylaniline.', 'label': 'lidocaine', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:6456'}, {'term': 'C614', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A synthetic aminoethylamide with local anesthetic and antiarrhythmic properties. Lidocaine stabilizes the neuronal membrane by binding to and inhibiting voltage-gated sodium channels, thereby inhibiting the ionic fluxes required for the initiation and conduction of impulses and effecting local anesthesia.', 'label': 'Lidocaine', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C614'}, {'term': 'NNJVILVZKWQKPM-UHFFFAOYSA-N', 'relation': 'BQB_IS', 'collection': 'inchikey', 'description': None, 'label': None, 'url': 'https://www.chemspider.com/search?params=NNJVILVZKWQKPM-UHFFFAOYSA-N'}]	[]
enflurane	enflurane	substance	undefined	enflurane	A fluorinated ether and very potent and stable general anaesthetic agent. The mechanism through which enflurane exerts its effect is not clear, it probably acts on nerve cell membranes to disrupt neuronal transmission in the brain, probably via an action at the lipid matrix of the neuronal membrane.	[{'term': 'CHEBI:4792', 'relation': 'BQB_IS', 'collection': 'chebi', 'description': 'An ether in which the oxygen atom is connected to 2-chloro-1,1,2-trifluoroethyl and difluoromethyl groups.', 'label': 'enflurane', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:4792'}, {'term': 'C47511', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A fluorinated ether and very potent and stable general anaesthetic agent. The mechanism through which enflurane exerts its effect is not clear, it probably acts on nerve cell membranes to disrupt neuronal transmission in the brain, probably via an action at the lipid matrix of the neuronal membrane. Enflurane may also enhance the activity of the inhibitory neurotransmitter gamma-aminobutyric acid on synaptic transmission. Enflurane may also inhibit glutamatergic excitatory transmission.', 'label': 'Enflurane', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C47511'}, {'term': 'JPGQOUSTVILISH-UHFFFAOYSA-N', 'relation': 'BQB_IS', 'collection': 'inchikey', 'description': None, 'label': None, 'url': 'https://www.chemspider.com/search?params=JPGQOUSTVILISH-UHFFFAOYSA-N'}]	[]
vecuronium-bromide	vecuronium bromide	substance	undefined	vecuronium bromide	The bromide salt form of vecuronium, a synthetic steroid derivative of the naturally occurring alkaloids of curare with a muscle relaxant property.	[{'term': 'CHEBI:9940', 'relation': 'BQB_IS', 'collection': 'chebi', 'description': 'The organic bromide salt of a 5alpha-androstane compound having 3alpha-acetoxy-, 17beta-acetoxy-, 2beta-piperidinino- and 16beta-N-methylpiperidinium substituents.', 'label': 'vecuronium bromide', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:9940'}, {'term': 'C47782', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'The bromide salt form of vecuronium, a synthetic steroid derivative of the naturally occurring alkaloids of curare with a muscle relaxant property. Vecuronium bromide competes with acetylcholine for the nicotinic receptors at the neuromuscular junction of skeletal muscles, thereby inhibiting the action of acetylcholine and blocking the neural transmission without depolarizing the postsynaptic membrane. This leads to skeletal muscle relaxation and paralysis.', 'label': 'Vecuronium Bromide', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C47782'}, {'term': 'VEPSYABRBFXYIB-PWXDFCLTSA-M', 'relation': 'BQB_IS', 'collection': 'inchikey', 'description': None, 'label': None, 'url': 'https://www.chemspider.com/search?params=VEPSYABRBFXYIB-PWXDFCLTSA-M'}]	[]
etomidate	etomidate	substance	undefined	etomidate	An imidazole derivative with short-acting sedative, hypnotic, and general anesthetic properties. Etomidate appears to have gamma-aminobutyric acid (GABA) like effects, mediated through GABA-A receptor.	[{'term': 'CHEBI:4910', 'relation': 'BQB_IS', 'collection': 'chebi', 'description': 'The ethyl ester of 1-[(1R)-1-phenylethyl]-1H-imidazole-5-carboxylic acid. It is an intravenous general anaesthetic with no analgesic activity.', 'label': 'etomidate', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:4910'}, {'term': 'C47527', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'An imidazole derivative with short-acting sedative, hypnotic, and general anesthetic properties. Etomidate appears to have gamma-aminobutyric acid (GABA) like effects, mediated through GABA-A receptor. The action enhances the inhibitory effect of GABA on the central nervous system by causing chloride channel opening events which leads to membrane hyperpolarization.', 'label': 'Etomidate', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C47527'}, {'term': 'NPUKDXXFDDZOKR-LLVKDONJSA-N', 'relation': 'BQB_IS', 'collection': 'inchikey', 'description': None, 'label': None, 'url': 'https://www.chemspider.com/search?params=NPUKDXXFDDZOKR-LLVKDONJSA-N'}]	[]
isoflurane	isoflurane	substance	undefined	isoflurane	A fluorinated ether with general anesthetic and muscle relaxant activities. Although the exact mechanism of action has not been established, inhaled isoflurane, appears to act on the lipid matrix of the neuronal cell membrane, which results in disruption of neuronal transmission.	[{'term': 'CHEBI:6015', 'relation': 'BQB_IS', 'collection': 'chebi', 'description': None, 'label': 'isoflurane', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:6015'}, {'term': 'C65978', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A fluorinated ether with general anesthetic and muscle relaxant activities. Although the exact mechanism of action has not been established, inhaled isoflurane, appears to act on the lipid matrix of the neuronal cell membrane, which results in disruption of neuronal transmission. This agent enhances the release of the inhibitory neurotransmitter gamma-aminobutyric acid (GABA), thereby increasing the activity of the inhibitory neurotransmitter on synaptic transmission. Isoflurane may also both inhibit glutamatergic excitatory transmission by increasing glutamate re-uptake, and potentiate glycine receptor activity, which decreases motor function. In addition, isoflurane may alter certain pro- and anti-inflammatory cytokines, including interleukin-6 and -10 (IL-6, IL-10), possibly through the activation of the nuclear factor kappa B (NF-KB) pathway, which may affect immune responses during surgery.', 'label': 'Isoflurane', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C65978'}, {'term': 'PIWKPBJCKXDKJR-UHFFFAOYSA-N', 'relation': 'BQB_IS', 'collection': 'inchikey', 'description': None, 'label': None, 'url': 'https://www.chemspider.com/search?params=PIWKPBJCKXDKJR-UHFFFAOYSA-N'}]	[]
succinylcholine	succinylcholine	substance	undefined	succinylcholine	A quaternary ammonium compound and depolarizing agent with short-term muscle relaxant properties. Succinylcholine binds to nicotinic receptors at the neuromuscular junction and opening the ligand-gated channels in the same way as acetylcholine, resulting in depolarization and inhibition of neuromuscular transmission.	"[{'term': 'CHEBI:45652', 'relation': 'BQB_IS', 'collection': 'chebi', 'description': 'A quaternary ammonium ion that is the bis-choline ester of succinic acid.', 'label': 'succinylcholine', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:45652'}, {'term': 'C61955', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': ""A quaternary ammonium compound and depolarizing agent with short-term muscle relaxant properties. Succinylcholine binds to nicotinic receptors at the neuromuscular junction and opening the ligand-gated channels in the same way as acetylcholine, resulting in depolarization and inhibition of neuromuscular transmission. Depolarization may be prolonged due to succinylcholine's resistance to acetylcholinesterases thereby leading to disorganized muscle contraction followed by skeletal muscle relaxation and flaccid paralysis."", 'label': 'Succinylcholine', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C61955'}, {'term': 'AXOIZCJOOAYSMI-UHFFFAOYSA-N', 'relation': 'BQB_IS', 'collection': 'inchikey', 'description': None, 'label': None, 'url': 'https://www.chemspider.com/search?params=AXOIZCJOOAYSMI-UHFFFAOYSA-N'}]"	[]
estradiol	estradiol	substance	undefined	estradiol	The most potent form of the naturally occurring steroid sex hormone in humans, produced by ovary, placenta, testis, and in small amount by adrenal cortex. Estradiol binds to a specific intracellular estrogen receptor located in female organs, breasts, hypothalamus and pituitary.	[{'term': 'CHEBI:23965', 'relation': 'BQB_IS', 'collection': 'chebi', 'description': 'A 3-hydroxy steroid that is estra-1,3,5(10)-triene substituted by hydroxy groups at positions 3 and 17.', 'label': 'estradiol', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:23965'}, {'term': 'C2295', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'The most potent form of the naturally occurring steroid sex hormone in humans, produced by ovary, placenta, testis, and in small amount by adrenal cortex. Estradiol binds to a specific intracellular estrogen receptor located in female organs, breasts, hypothalamus and pituitary. The receptor-ligand complex promotes gene expression necessary for the maintenance of fertility and secondary sexual characteristics in females. In addition, estradiol exhibits mild anabolic and metabolic properties, and increases blood coagulability. Estradiol, the principal intracellular human estrogen, is substantially more active at the cellular level than its metabolites, estrone and estriol.', 'label': 'Estradiol', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C2295'}, {'term': 'VOXZDWNPVJITMN-WKUFJEKOSA-N', 'relation': 'BQB_IS', 'collection': 'inchikey', 'description': None, 'label': None, 'url': 'https://www.chemspider.com/search?params=VOXZDWNPVJITMN-WKUFJEKOSA-N'}]	[]
obeticholic-acid	obeticholic acid	substance	undefined	obeticholic acid	Obeticholic acid (OCA), is a semi-synthetic bile acid analogue which has the chemical structure 6α-ethyl-chenodeoxycholic acid. It is used as a medication used to treat primary biliary cholangitis.	[{'term': 'CHEBI:43602', 'relation': 'BQB_IS', 'collection': 'chebi', 'description': 'A dihydroxy-5beta-cholanic acid that is chenodeoxycholic acid carrying an additional ethyl substituent at the 6alpha-position. A semi-synthetic bile acid which acts as a farnesoid X receptor agonist and is used for treatment of primary biliary cholangitis.', 'label': 'obeticholic acid', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:43602'}, {'term': 'ZXERDUOLZKYMJM-ZWECCWDJSA-N', 'relation': 'BQB_IS', 'collection': 'inchikey', 'description': None, 'label': None, 'url': 'https://www.chemspider.com/search?params=ZXERDUOLZKYMJM-ZWECCWDJSA-N'}]	[]
progesterone	progesterone	substance	undefined	progesterone	Produced in the corpus luteum and by the placenta, as an antagonist of estrogens. Promotes proliferation of uterine mucosa and the implantation of the blastocyst, prevents further follicular development.	[{'term': 'CHEBI:17026', 'relation': 'BQB_IS', 'collection': 'chebi', 'description': 'A C21-steroid hormone in which a pregnane skeleton carries oxo substituents at positions 3 and 20 and is unsaturated at C(4)-C(5). As a hormone, it is involved in the female menstrual cycle, pregnancy and embryogenesis of humans and other species.', 'label': 'progesterone', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17026'}, {'term': 'C2297', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'Produced in the corpus luteum and by the placenta, as an antagonist of estrogens. Promotes proliferation of uterine mucosa and the implantation of the blastocyst, prevents further follicular development.', 'label': 'Progesterone', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C2297'}, {'term': 'RJKFOVLPORLFTN-LEKSSAKUSA-N', 'relation': 'BQB_IS', 'collection': 'inchikey', 'description': None, 'label': None, 'url': 'https://www.chemspider.com/search?params=RJKFOVLPORLFTN-LEKSSAKUSA-N'}]	[]
isradipine	isradipine	substance	undefined	isradipine	A dihydropyridine calcium channel blockers with antihypertensive and vasodilator activities. Isradipine blocks the calcium entry through the calcium ion channels of coronary and peripheral vascular smooth muscle, thereby dilating coronary arteries and peripheral arterioles.	[{'term': 'CHEBI:6073', 'relation': 'BQB_IS', 'collection': 'chebi', 'description': None, 'label': 'Isradipine', 'url': 'https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:6073'}, {'term': 'C47577', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A dihydropyridine calcium channel blockers with antihypertensive and vasodilator activities. Isradipine blocks the calcium entry through the calcium ion channels of coronary and peripheral vascular smooth muscle, thereby dilating coronary arteries and peripheral arterioles. This increases oxygen delivery due to an increased blood flow and reduces oxygen requirements due to decrease in total peripheral resistance. (NCI05)', 'label': 'Isradipine', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C47577'}, {'term': 'HMJIYCCIJYRONP-UHFFFAOYSA-N', 'relation': 'BQB_IS', 'collection': 'inchikey', 'description': None, 'label': None, 'url': 'https://www.chemspider.com/search?params=HMJIYCCIJYRONP-UHFFFAOYSA-N'}]	[]
